chembl_id,smiles,name,mw
CHEMBL6329,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,CHEMBL6329,341.8
CHEMBL6328,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,CHEMBL6328,332.3
CHEMBL265667,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,CHEMBL265667,357.8
CHEMBL6362,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,CHEMBL6362,307.3
CHEMBL267864,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,CHEMBL267864,341.8
CHEMBL6363,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,CHEMBL6363,307.3
CHEMBL6352,Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,CHEMBL6352,420.7
CHEMBL268097,O=C(c1ccc(Cl)cc1Cl)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,CHEMBL268097,396.6
CHEMBL266457,CS(=O)(=O)c1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,CHEMBL266457,405.8
CHEMBL6214,CSc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,CHEMBL6214,373.8
CHEMBL6222,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,CHEMBL6222,362.2
CHEMBL6206,O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,BROMOENOL LACTONE,317.2
CHEMBL6223,O=C1O/C(=C/I)CCC1c1cccc2ccccc12,CHEMBL6223,364.2
CHEMBL269758,C#C/C=C1\CCC(c2cccc3ccccc23)C(=O)O1,CHEMBL269758,262.3
