rank,compound_id,smiles,affinity_kcal_mol,pose_file
1,CHEMBL7029,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)oc2C)c1,-9.3,CHEMBL7029_pose.pdbqt
2,CHEMBL6748,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2coc(-c3ccc(C(F)(F)F)cc3)n2)c1,-9.1,CHEMBL6748_pose.pdbqt
3,CHEMBL414184,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(/C=C/Cn2oc(=O)[nH]c2=O)c1,-9.1,CHEMBL414184_pose.pdbqt
4,CHEMBL7360,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2ccc3c(Cl)cccc3c2)c1,-8.9,CHEMBL7360_pose.pdbqt
5,CHEMBL415478,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(CCCn2oc(=O)[nH]c2=O)c1,-8.8,CHEMBL415478_pose.pdbqt
6,CHEMBL7251,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,-8.7,CHEMBL7251_pose.pdbqt
7,CHEMBL414014,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCC#Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,-8.6,CHEMBL414014_pose.pdbqt
8,CHEMBL266574,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(C#CC(C)n2oc(=O)[nH]c2=O)c1,-8.5,CHEMBL266574_pose.pdbqt
9,CHEMBL267241,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1ccc2c(c1)C=C/C2=C\Cn1oc(=O)[nH]c1=O,-8.4,CHEMBL267241_pose.pdbqt
10,CHEMBL7084,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(COc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,-8.4,CHEMBL7084_pose.pdbqt
11,CHEMBL7221,CN(C(=O)[C@H](CC#Cc1cccc(N)c1)NS(=O)(=O)c1ccc2ccccc2c1)C1CCCC1,-8.4,CHEMBL7221_pose.pdbqt
12,CHEMBL7343,C/C(=C\Cn1oc(=O)[nH]c1=O)c1ccccc1OCc1nc(-c2ccc(C(F)(F)F)cc2)oc1C,-8.4,CHEMBL7343_pose.pdbqt
13,CHEMBL7748,Nc1nc2ccc(OCc3ccccc3)cc2c2nc(-c3ccco3)nn12,-8.4,CHEMBL7748_pose.pdbqt
14,CHEMBL266065,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccccc2[N+](=O)[O-])cc1,-8.3,CHEMBL266065_pose.pdbqt
15,CHEMBL6293,O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1,-8.3,CHEMBL6293_pose.pdbqt
16,CHEMBL266499,O=C(c1cc2ccccc2[nH]1)c1cc2cc(OC(=O)c3ccco3)ccc2[nH]1,-8.3,CHEMBL266499_pose.pdbqt
17,CHEMBL266508,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@H](C)C(=O)O)cc1,-8.3,CHEMBL266508_pose.pdbqt
18,CHEMBL6925,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1ccc2oc(Cn3oc(=O)[nH]c3=O)cc2c1,-8.2,CHEMBL6925_pose.pdbqt
19,CHEMBL7062,Nc1nc(N)c2c(n1)CCC(Cc1ccc(OC(F)(F)F)cc1)C2,-8.2,CHEMBL7062_pose.pdbqt
20,CHEMBL7495,O=C(Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1)c1cccnc1,-8.2,CHEMBL7495_pose.pdbqt
21,CHEMBL7067,CC(CCc1ccccc1)NCC(O)c1cc(C(N)=O)c2c(ccn2C)c1,-8.2,CHEMBL7067_pose.pdbqt
22,CHEMBL268100,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2cccc(C#N)c2)cc1,-8.2,CHEMBL268100_pose.pdbqt
23,CHEMBL6884,Cc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,-8.2,CHEMBL6884_pose.pdbqt
24,CHEMBL264095,C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)NCc2cccc(C#N)c2)c(F)c1,-8.1,CHEMBL264095_pose.pdbqt
25,CHEMBL7358,Nc1nc(N)c2cc(CNC(=O)c3cccc(C(F)(F)F)c3)ccc2n1,-8.1,CHEMBL7358_pose.pdbqt
