rank,compound_id,smiles,affinity_kcal_mol,pose_file
1,GEN_0922,O=C(CCNCNS(=O)(=O)C(=O)Nc1cccc2nc3ccccc3cc12)NCCOC(=O)Nc1ccccc1,-9.0,GEN_0922_pose.pdbqt
2,GEN_0128,O=C(NCCCCNCc1cccc2ccccc12)Nc1ccccc1CC(F)(F)F,-8.9,GEN_0128_pose.pdbqt
3,GEN_0195,O=C(NNCc1cccc2nc3ccccc3cc12)OCc1ccccc1,-8.8,GEN_0195_pose.pdbqt
4,GEN_0556,O=C(NCCOSCOc1ccccc1)NC(=O)c1cccc(-c2ccccc2)c1,-8.4,GEN_0556_pose.pdbqt
5,GEN_0454,N#CNC(=O)OCCNC(=O)Cc1ccccc1NNC(=O)c1cccc2nc3ccccc3cc12,-8.3,GEN_0454_pose.pdbqt
6,GEN_0615,O=C(NCNCOCc1cccc(-c2ccccc2)c1)C(=O)Nc1ccccc1,-8.3,GEN_0615_pose.pdbqt
7,GEN_0145,O=C(COCc1cccc2nc[nH]c12)NCCONC(=O)Nc1ccccc1,-8.3,GEN_0145_pose.pdbqt
8,GEN_0187,O=C(NCCNOc1ccccc1)OCc1ccccc1NCCCc1cccc2ncccc12,-8.2,GEN_0187_pose.pdbqt
9,GEN_0482,O=C(Cc1cccc(-c2ccccc2)c1)Nc1ccccc1NC(=O)S(=O)(=O)NCCC(F)(F)F,-8.1,GEN_0482_pose.pdbqt
10,GEN_0381,O=C(CCCc1cccc2ncncc12)NNCCNc1ccccc1NC(=O)Nc1ccccc1,-8.1,GEN_0381_pose.pdbqt
11,GEN_0587,NS(=O)(=O)COCOCCNC(=O)CONC(=O)CCc1cccc2nc3ccccc3cc12,-8.1,GEN_0587_pose.pdbqt
12,GEN_0041,O=C(CCOCc1cccc2ncccc12)NCOOCC(=O)NS(=O)(=O)c1ccccc1,-8.1,GEN_0041_pose.pdbqt
13,GEN_0558,O=C(CNCCc1cccc2nc[nH]c12)NCNNC(=O)C(F)(F)F,-8.0,GEN_0558_pose.pdbqt
14,GEN_0736,O=C(COCc1ccccc1NC(=O)SCc1ccccc1NC(=O)NC(=O)c1cccc2ncncc12)NCCO,-8.0,GEN_0736_pose.pdbqt
15,GEN_0962,O=C(CSCc1cccc2[nH]ccc12)NNC(=O)C(=O)Nc1ccccc1,-8.0,GEN_0962_pose.pdbqt
16,GEN_0900,O=C(NNc1ccccc1)c1cccc2nc3ccccc3cc12,-8.0,GEN_0900_pose.pdbqt
17,GEN_0353,O=C(CONc1ccccc1NC(=O)NC(=O)c1ccn[nH]1)Nc1ccccc1,-7.9,GEN_0353_pose.pdbqt
18,GEN_0697,O=C(CCCCc1cccc2nc3ccccc3cc12)NNC(=O)C(=O)Nc1ccccc1,-7.8,GEN_0697_pose.pdbqt
19,GEN_0678,O=C(NC(=O)NS(=O)(=O)CCCN1c2ccccc2Sc2ccccc21)Nc1ccccc1,-7.8,GEN_0678_pose.pdbqt
